"lat","long","Sample_depth_min_cm","Sample_depth_max_cm","Sea_Depth_meters_NOAA","Sea_Depth_meters","sample_type","Diff_Buckley_NOAA","Ocean","OBD_IRN","OBD_IRN_extra_info"
-41.967,-0.25,"100","100",-624,NA,"deep_core",NA,"Atlantic ocean",19790,"|BM.1972,O633(1), V 22-109, RV Vema, 06/04/1966, 41 58  S; 0 15  W; Southeast Atlantic Ocean"
-27.93333,-106.91667,"13","20",-3039,"3060","deep_core",21,"Pacific Ocean",16651,"7 cms|BM.1963,926, DWBG 120, RV Spencer F. Baird, 01/01/1958, 27 56  S; 106 55  W; Southeast Pacific Ocean, Gravity corer"
-24.7,73.083,"103","106",-4413,"3600","deep_core",-813,"Indian ocean",18487,"103-106 cms|BM.1968,O246, DODO 141 G, RV Argo, 19/09/1964, 24 42  S; 73 5  E; Western Indian Ocean, Gravity corer"
-19.475,-173.73333,"5","10",-4347,"2780","deep_core",-1567,"Pacific ocean",16365,"1 sld|BM.1963,367, 24 BG, Capricorn, 19 28 30 S; 173 44  W; Eastern Central Pacific Ocean"
-18.35,62.06667,"99","102",-3407,"3398","deep_core",-9,"Indian ocean",18483,"99-102 cms|BM.1968,O242, DODO 117, RV Argo, 18/06/1964, 18 21  S; 62 4  E; Western Indian Ocean, Piston core"
-18.35,62.06667,"251","254",-3407,"3398","deep_core",-9,"Indian ocean",18483,"99-102 cms|BM.1968,O242, DODO 117, RV Argo, 18/06/1964, 18 21  S; 62 4  E; Western Indian Ocean, Piston core"
-17.2,88.683,"101","104",-2741,"2706","deep_core",-35,"Indian ocean",18562,"|BM.1968,O414, V 20-163, RV Vema, 05/09/1964, 17 12  S; 88 41  E; Eastern Indian Ocean"
-15.66667,112.73333,"33","36",-4291,"3653","deep_core",-638,"Indian ocean",18480,"33-36cms|BM.1968,O239, DODO 57 P, RV Argo, 19/06/1964, 15 40  S; 112 44  E; Eastern Indian Ocean, Piston corer"
-15.66667,112.73333,"20","22",-4291,"3653","deep_core",-638,"Indian ocean",18480,"33-36cms|BM.1968,O239, DODO 57 P, RV Argo, 19/06/1964, 15 40  S; 112 44  E; Eastern Indian Ocean, Piston corer"
-14.26667,-119.18333,"544","546",-3735,"3400","deep_core",-335,"Pacific ocean",18529,"3cms|BM.1968,O380, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
-14.26667,-119.18333,"503","505",-3735,"3400","deep_core",-335,"Pacific ocean",18529,"3cms|BM.1968,O380, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
-14.26667,-119.18333,"575","578",-3735,"3400","deep_core",-335,"Pacific ocean",18529,"3cms|BM.1968,O380, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
-14.26667,-119.18333,"488","490",-3735,"3400","deep_core",-335,"Pacific ocean",18529,"3cms|BM.1968,O380, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
-14.26667,-119.18333,"789","791",-3735,"3400","deep_core",-335,"Pacific ocean",18529,"3cms|BM.1968,O380, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
-14.26667,-119.18333,"626","629",-3735,"3400","deep_core",-335,"Pacific ocean",18529,"3cms|BM.1968,O380, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
-14.26667,-119.18333,"381","384",-3735,"3400","deep_core",-335,"Pacific ocean",18529,"3cms|BM.1968,O380, CAP 38 BP, RV Spencer F. Baird, 02/02/1953, 14 16  S; 119 11  W; Southeast Pacific Ocean"
-9.75,-34.4,"400","403",-4123,"3380","deep_core",-743,"Atlantic ocean near Brazil",17359,"690cms|BM.1965,O39, V 15-164, RV Vema, 03/05/1959, 9 45  S; 34 24  W; Southwest Atlantic Ocean"
-9.75,-34.4,"125","128",-4123,"3380","deep_core",-743,"Atlantic ocean near Brazil",17359,"690cms|BM.1965,O39, V 15-164, RV Vema, 03/05/1959, 9 45  S; 34 24  W; Southwest Atlantic Ocean"
-4.517,168.033,"497","500",-3244,"3208","deep_core",-36,"Pacific ocean",18545,"3 cms|BM.1968,O397, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
-4.517,168.033,"465","468",-3244,"3208","deep_core",-36,"Pacific ocean",18545,"3 cms|BM.1968,O397, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
-4.517,168.033,"103","105",-3244,"3208","deep_core",-36,"Pacific ocean",18545,"3 cms|BM.1968,O397, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
-4.517,168.033,"68","70",-3244,"3208","deep_core",-36,"Pacific ocean",18545,"3 cms|BM.1968,O397, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
-4.517,168.033,"89","91",-3244,"3208","deep_core",-36,"Pacific ocean",18545,"3 cms|BM.1968,O397, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
-4.517,168.033,"150","153",-3244,"3208","deep_core",-36,"Pacific ocean",18545,"3 cms|BM.1968,O397, LSDH 78 P, RV Horizon, 13/01/1963, 4 31  S; 168 2  E; Western Central Pacific Ocean"
-4.19083,41.18333,"105","107",-1974,NA,"deep_core",NA,"Indian ocean near coast",30577,"|BM.96626(A42), 118, HEMS Mabahiss, 17/01/1934, 4 11 27 S; 41 11 0 E; Western Indian Ocean"
1.97,77.98,"56","60",-4375,"4308","deep_core",-67,"Indian ocean",2229293,"|BM.1971,O489"
2.617,-12,"450","450",-4431,NA,"deep_core",NA,"Atlantic ocean",18634,"10cmž450cmž563cm|BM.1969,O2, V19-297, RV Vema, 18/11/1963, 2 37  N; 12   W; Eastern Central Atlantic Ocean"
2.933,167.233,"203","206",-4436,NA,"deep_core",NA,"Pacific ocean",18537,"7 cms|BM.1968,O389, PROA 88 P, RV Spencer F. Baird, 05/07/1962, 2 56  N; 167 14  E; Western Central Pacific Ocean"
2.93333,167.23333,"443","446",-4436,"4428","deep_core",-8,"Pacific ocean",18538,"3 cms|BM.1968,O390, PROA 88 P, RV Spencer F. Baird, 05/07/1962, 2 56  N; 167 14  E; Western Central Pacific Ocean"
3.86667,65.51667,"22","23",-3663,"3910","deep_core",247,"Indian ocean",17338,"|BM.1965,O37, V14-100, RV Vema, 25/05/1958, 3 52  N; 65 31  E; Western Indian Ocean"
3.86667,65.51667,"40","43",-3663,"3910","deep_core",247,"Indian ocean",17338,"|BM.1965,O37, V14-100, RV Vema, 25/05/1958, 3 52  N; 65 31  E; Western Indian Ocean"
3.86667,65.51667,"50","51",-3663,"3910","deep_core",247,"Indian ocean",17338,"|BM.1965,O37, V14-100, RV Vema, 25/05/1958, 3 52  N; 65 31  E; Western Indian Ocean"
7.19333,63.0425,"4","5.5",-4346,"4042","deep_core",-304,"Indian ocean",30724,"|BM.96626(A52), 167, HEMS Mabahiss, 25/04/1934, 7 11 36 N; 63 2 33 E; Western Indian Ocean"
7.19333,63.0425,"41","42",-4346,"4042","deep_core",-304,"Indian ocean",30724,"|BM.96626(A52), 167, HEMS Mabahiss, 25/04/1934, 7 11 36 N; 63 2 33 E; Western Indian Ocean"
7.19333,63.0425,"20","21.5",-4346,"4042","deep_core",-304,"Indian ocean",30724,"|BM.96626(A52), 167, HEMS Mabahiss, 25/04/1934, 7 11 36 N; 63 2 33 E; Western Indian Ocean"
7.19333,63.0425,"10","10",-4346,"4042","deep_core",-304,"Indian ocean",30724,"|BM.96626(A52), 167, HEMS Mabahiss, 25/04/1934, 7 11 36 N; 63 2 33 E; Western Indian Ocean"
7.19333,63.0425,"12","13",-4346,"4042","deep_core",-304,"Indian ocean",30724,"|BM.96626(A52), 167, HEMS Mabahiss, 25/04/1934, 7 11 36 N; 63 2 33 E; Western Indian Ocean"
7.19333,63.0425,"15","16",-4346,"4042","deep_core",-304,"Indian ocean",30724,"|BM.96626(A52), 167, HEMS Mabahiss, 25/04/1934, 7 11 36 N; 63 2 33 E; Western Indian Ocean"
13.25,-40.66667,"950","953",-4298,"4886","deep_core",588,"Atlantic ocean",17382,"Sections from core 1140cm long: 1965,O,41: 950-953ž1040-043cmsž1965,O,207:1111-1112ž1131-1132cms|BM.1965,O41, V 16-23, RV Vema, 12/11/1959, 13 15  N; 40 40  W; Western Central Atlantic Ocean"
14.373,-133.112,"9","16",-5167,NA,"deep_core",NA,"Pacific ocean",16974,"9-16 cms|BM.1964,596, MP 5-1, RV Horizon, 05/08/1950, 14 22 24 N; 133 6 42 W; Eastern Central Pacific Ocean"
17.275,-48.41667,"55","58",-3881,"3795","deep_core",-86,"Atlantic ocean",17371,"Sections from core 702cms longž1965,O,40: 155-158ž205-208ž405-408ž555-558cms. 1965,O,206: 4ž80-82ž125-127ž700-701cms|BM.1965,O40, V16-21, RV Vema, 09/11/1959, 17 16 30 N; 48 25  W; Western Central Atlantic Ocean"
17.275,-48.41667,"80","82",-3881,"3795","deep_core",-86,"Atlantic ocean",17371,"Sections from core 702cms longž1965,O,40: 155-158ž205-208ž405-408ž555-558cms. 1965,O,206: 4ž80-82ž125-127ž700-701cms|BM.1965,O40, V16-21, RV Vema, 09/11/1959, 17 16 30 N; 48 25  W; Western Central Atlantic Ocean"
17.275,-48.41667,"405","408",-3881,"3795","deep_core",-86,"Atlantic ocean",17371,"Sections from core 702cms longž1965,O,40: 155-158ž205-208ž405-408ž555-558cms. 1965,O,206: 4ž80-82ž125-127ž700-701cms|BM.1965,O40, V16-21, RV Vema, 09/11/1959, 17 16 30 N; 48 25  W; Western Central Atlantic Ocean"
17.275,-48.41667,"205","208",-3881,"3795","deep_core",-86,"Atlantic ocean",17371,"Sections from core 702cms longž1965,O,40: 155-158ž205-208ž405-408ž555-558cms. 1965,O,206: 4ž80-82ž125-127ž700-701cms|BM.1965,O40, V16-21, RV Vema, 09/11/1959, 17 16 30 N; 48 25  W; Western Central Atlantic Ocean"
21.11667,-72.85,"151","152",-2910,"2470","deep_core",-440,"Atlantic ocean near islands",17163,"Sections from core 555cm long|BM.1965,O208, A 185-7, RV Argo, 21 7  N; 72 51  W; Western Central Atlantic Ocean"
21.11667,-72.85,"402","402",-2910,"2470","deep_core",-440,"Atlantic ocean near islands",17163,"Sections from core 555cm long|BM.1965,O208, A 185-7, RV Argo, 21 7  N; 72 51  W; Western Central Atlantic Ocean"
21.11667,-72.85,"421","422",-2910,"2470","deep_core",-440,"Atlantic ocean near islands",17163,"Sections from core 555cm long|BM.1965,O208, A 185-7, RV Argo, 21 7  N; 72 51  W; Western Central Atlantic Ocean"
21.2,-45.35,"205","208",-3182,"3000","deep_core",-182,"Atlantic ocean",17348,"5 sections from a core, 735cms long. 1965,O,38: 205-208, 405-408, 545-548, 625-628, 685-688cms. 1965,O,204: 728-729cms. 1962,O,62:|BM.1965,O38, V 12-5, RV Vema, 26/12/1956, 21 12  N; 45 21  W; Western Central Atlantic Ocean"
21.2,-45.35,"545","548",-3182,"3000","deep_core",-182,"Atlantic ocean",17348,"5 sections from a core, 735cms long. 1965,O,38: 205-208, 405-408, 545-548, 625-628, 685-688cms. 1965,O,204: 728-729cms. 1962,O,62:|BM.1965,O38, V 12-5, RV Vema, 26/12/1956, 21 12  N; 45 21  W; Western Central Atlantic Ocean"
21.2,-45.35,"625","628",-3182,"3000","deep_core",-182,"Atlantic ocean",17348,"5 sections from a core, 735cms long. 1965,O,38: 205-208, 405-408, 545-548, 625-628, 685-688cms. 1965,O,204: 728-729cms. 1962,O,62:|BM.1965,O38, V 12-5, RV Vema, 26/12/1956, 21 12  N; 45 21  W; Western Central Atlantic Ocean"
26.7,-39.38333,"600","600",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"540","540",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"530","530",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"520","520",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"510","510",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"500","500",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"480","480",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"465","465",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"430","430",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"300","300",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"200","200",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"145","145",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"80","80",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
26.7,-39.38333,"580","580",-4741,"4517","deep_core",-224,"Atlantic ocean",18560,"600cm. Core length 722cm|BM.1968,O412, 171, RV Chain, 06/12/1966, 26 42  N; 39 23  W; Eastern Central Atlantic Ocean, Piston corer"
28.4,-77.93333,"500","500",-1004,"970","deep_core",-34,"Atlantic ocean near coast",17162,"5 sections from a core 545cms long|BM.1965,O203, V3-153, RV Vema, 28 24  N; 77 56  W; Western Central Atlantic Ocean"
35.68333,-4.08333,"40","40",-1500,"1498","deep_core",-2,"Mediterranean sea",NA,NA
35.68333,-4.08333,"80","80",-1500,"1498","deep_core",-2,"Mediterranean sea",NA,NA
35.68333,-4.08333,"160","160",-1500,"1498","deep_core",-2,"Mediterranean sea",NA,NA
35.68333,-4.08333,"240","240",-1500,"1498","deep_core",-2,"Mediterranean sea",NA,NA
35.68333,-4.08333,"340","340",-1500,"1498","deep_core",-2,"Mediterranean sea",NA,NA
35.68333,-4.08333,"400","400",-1500,"1498","deep_core",-2,"Mediterranean sea",NA,NA
35.68333,-4.08333,"420","420",-1500,"1498","deep_core",-2,"Mediterranean sea",NA,NA
35.68333,-4.08333,"440","440",-1500,"1498","deep_core",-2,"Mediterranean sea",NA,NA
35.68333,-4.08333,"520","520",-1500,"1498","deep_core",-2,"Mediterranean sea",NA,NA
36.543,13.092,"5","6",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
36.543,13.092,"8","10",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
36.543,13.092,"12","13",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
36.543,13.092,"16.5","17.5",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
36.543,13.092,"20","21",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
36.543,13.092,"24","26",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
36.543,13.092,"30","31",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
36.543,13.092,"35.5","36.5",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
36.543,13.092,"40","42",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
36.543,13.092,"44","45",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
36.543,13.092,"50","52",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
36.543,13.092,"58","60",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
36.543,13.092,"63","64",-1620,NA,"deep_core",NA,"Mediterranean sea",14259,"1 core, echo trace|BM.1958,631, HMS Owen, 22/05/1958, 36 32 36 N; 13 5 30 E; Northeast Atlantic Ocean, B.M. Corer"
